crew_id,date,task_completion_rate,quality_score,feedback_text
C-001,2023-03-17,92.78856271261168,91,Could improve communication with team members
C-001,2024-02-12,83.8746673974978,82,Needs additional support with technical tasks
C-001,2023-08-06,94.80345090063885,81,Could improve communication with team members
C-001,2023-02-14,90.16145364261033,82,Consistently follows safety procedures
C-001,2024-03-26,88.44953769471371,82,Shows strong initiative in problem-solving
C-001,2024-02-01,82.18476526207779,74,Shows strong initiative in problem-solving
C-002,2023-07-17,97.83249098421547,86,Shows strong initiative in problem-solving
C-002,2023-05-02,77.99272078216518,81,Shows strong initiative in problem-solving
C-002,2023-12-12,77.33401394195181,79,Required more training on equipment operation
C-002,2023-04-02,85.75858090435523,84,Required more training on equipment operation
C-002,2024-03-25,75.66859325332946,88,Demonstrates excellent leadership qualities
C-002,2023-06-19,89.7235661391137,70,Required more training on equipment operation
C-003,2023-03-05,87.35833629285648,73,Required more training on equipment operation
C-003,2023-09-10,81.80486051574499,76,Could improve communication with team members
C-003,2023-07-11,91.4639644022567,93,Required more training on equipment operation
C-003,2023-04-23,97.19807734099331,81,Demonstrates excellent leadership qualities
C-003,2023-08-26,88.36986186007799,77,Consistently follows safety procedures
C-004,2024-03-15,95.3754113846765,88,Consistently follows safety procedures
C-004,2023-08-29,78.77718446810414,90,Could improve communication with team members
C-004,2023-12-10,95.30789289380908,73,Could improve communication with team members
C-004,2024-03-26,75.9641425569815,78,Could improve communication with team members
C-004,2023-10-09,93.29985372015966,74,Could improve communication with team members
C-004,2024-02-06,94.13626015904698,81,Consistently follows safety procedures
C-005,2023-01-23,97.70425862887188,89,Required more training on equipment operation
C-005,2023-06-11,91.66991454878395,81,Demonstrates excellent leadership qualities
C-005,2024-02-27,97.83335619554907,91,Required more training on equipment operation
C-006,2023-09-06,80.2428479228843,93,Could improve communication with team members
C-006,2023-05-03,99.12231017312953,70,Needs additional support with technical tasks
C-006,2023-01-10,92.69040908567368,98,Needs additional support with technical tasks
C-007,2024-02-21,93.32844307722709,89,Required more training on equipment operation
C-007,2024-03-12,85.69093651694995,97,Could improve communication with team members
C-007,2023-05-21,87.64682278695321,81,Consistently follows safety procedures
C-007,2024-01-15,86.98091518712286,87,Required more training on equipment operation
C-007,2023-01-06,77.65692628395259,80,Demonstrates excellent leadership qualities
C-007,2023-03-17,99.46484597197183,89,Needs additional support with technical tasks
C-007,2024-01-09,77.9662898884578,87,Consistently follows safety procedures
C-007,2024-03-04,88.00488335054989,78,Demonstrates excellent leadership qualities
C-008,2023-10-05,90.96833335101759,76,Needs additional support with technical tasks
C-008,2023-12-13,80.86083774268884,71,Shows strong initiative in problem-solving
C-008,2023-04-28,86.8115479547838,87,Consistently follows safety procedures
C-008,2023-05-11,86.01284257131458,82,Demonstrates excellent leadership qualities
C-008,2024-03-07,86.3834084743571,82,Could improve communication with team members
C-008,2023-10-21,87.83651847675897,74,Needs additional support with technical tasks
C-009,2023-07-31,83.99876312031533,71,Consistently follows safety procedures
C-009,2023-03-24,82.7595465131959,100,Could improve communication with team members
C-009,2023-06-27,75.71043923443473,89,Required more training on equipment operation
C-009,2023-12-01,76.78815395768571,86,Could improve communication with team members
C-009,2023-01-26,91.60086459570218,97,Could improve communication with team members
C-009,2023-09-17,87.22990781273565,71,Demonstrates excellent leadership qualities
C-009,2023-05-02,98.73790561519525,75,Shows strong initiative in problem-solving
C-009,2023-03-06,93.01998247590427,98,Needs additional support with technical tasks
C-010,2023-04-17,76.49252383865654,91,Consistently follows safety procedures
C-010,2024-02-16,98.16837529509175,95,Demonstrates excellent leadership qualities
C-010,2023-01-18,85.76884214185533,80,Needs additional support with technical tasks
C-010,2023-02-08,77.52220114072962,78,Demonstrates excellent leadership qualities
C-011,2023-04-15,76.62932683338032,100,Demonstrates excellent leadership qualities
C-011,2023-09-10,80.25288186124035,76,Required more training on equipment operation
C-011,2023-12-25,89.6999659144774,92,Needs additional support with technical tasks
C-011,2024-01-13,76.2593623060037,96,Could improve communication with team members
C-011,2023-04-16,80.0983992873334,97,Required more training on equipment operation
C-011,2023-05-31,91.14276348620052,93,Demonstrates excellent leadership qualities
C-011,2023-09-16,89.3985041090372,83,Needs additional support with technical tasks
C-011,2024-02-09,96.83936769042731,97,Needs additional support with technical tasks
C-011,2023-10-08,80.02278906419097,71,Needs additional support with technical tasks
C-012,2023-06-05,86.05680026763093,91,Needs additional support with technical tasks
C-012,2023-08-23,92.56488009759364,74,Could improve communication with team members
C-012,2023-04-02,85.98644600677957,74,Shows strong initiative in problem-solving
C-012,2024-02-22,77.30828816490659,90,Needs additional support with technical tasks
C-012,2024-03-21,77.50420918685062,95,Demonstrates excellent leadership qualities
C-012,2024-01-04,93.54243487062423,79,Could improve communication with team members
C-012,2023-07-04,82.74732743664562,99,Required more training on equipment operation
C-013,2023-12-30,91.81108215628981,88,Consistently follows safety procedures
C-013,2023-08-15,85.22467114633153,78,Required more training on equipment operation
C-013,2023-01-14,75.52220178828448,85,Needs additional support with technical tasks
C-013,2023-03-18,84.02899353939681,94,Consistently follows safety procedures
C-013,2023-01-29,97.98801268626816,86,Required more training on equipment operation
C-013,2023-07-20,91.52232862637028,70,Consistently follows safety procedures
C-013,2023-11-12,92.4379362824761,76,Needs additional support with technical tasks
C-013,2023-09-15,83.43740453829867,86,Needs additional support with technical tasks
C-013,2023-08-19,77.925873338555,84,Consistently follows safety procedures
C-014,2023-01-24,75.65139473275136,84,Demonstrates excellent leadership qualities
C-014,2024-01-24,95.65147327592712,75,Required more training on equipment operation
C-014,2023-08-03,96.43929849674964,85,Needs additional support with technical tasks
C-014,2023-02-01,99.93815479124618,76,Demonstrates excellent leadership qualities
C-014,2023-06-25,79.11433775303722,71,Needs additional support with technical tasks
C-014,2023-01-27,99.19897738156419,81,Consistently follows safety procedures
C-014,2023-12-05,86.59708939410069,81,Needs additional support with technical tasks
C-015,2023-02-17,80.7441062820217,91,Needs additional support with technical tasks
C-015,2023-08-26,82.80869866748995,75,Consistently follows safety procedures
C-015,2023-11-19,83.64307514677157,81,Demonstrates excellent leadership qualities
C-015,2023-05-11,82.73354528839342,89,Needs additional support with technical tasks
C-016,2023-04-30,82.44361114522785,85,Required more training on equipment operation
C-016,2023-12-02,98.40498555820955,94,Shows strong initiative in problem-solving
C-016,2023-09-16,99.06564711215935,74,Shows strong initiative in problem-solving
C-017,2023-05-19,82.53369708192703,82,Consistently follows safety procedures
C-017,2023-04-29,80.85262364102242,90,Required more training on equipment operation
C-017,2023-10-07,92.38278855194223,72,Needs additional support with technical tasks
C-017,2023-10-01,84.91149030684011,83,Needs additional support with technical tasks
C-018,2023-09-28,81.54586493490282,74,Demonstrates excellent leadership qualities
C-018,2023-07-09,85.71084913591872,70,Consistently follows safety procedures
C-018,2023-02-20,99.26345949713124,99,Demonstrates excellent leadership qualities
C-018,2023-11-23,85.31874125123494,81,Demonstrates excellent leadership qualities
C-018,2023-11-09,76.58464116700712,83,Shows strong initiative in problem-solving
C-018,2023-06-29,86.03698176968346,82,Demonstrates excellent leadership qualities
C-018,2023-12-03,99.7732573819625,78,Consistently follows safety procedures
C-019,2023-01-04,81.3635004731157,80,Could improve communication with team members
C-019,2023-10-26,82.11706433636954,99,Shows strong initiative in problem-solving
C-019,2023-08-12,89.88386921542575,81,Shows strong initiative in problem-solving
C-020,2023-10-16,76.03999177287227,81,Needs additional support with technical tasks
C-020,2023-03-12,81.9751414883959,70,Shows strong initiative in problem-solving
C-020,2023-03-25,83.2821154880729,70,Consistently follows safety procedures
C-020,2023-01-11,92.43770605203393,76,Consistently follows safety procedures
C-020,2024-03-06,92.48729304610168,88,Demonstrates excellent leadership qualities
C-020,2023-11-03,98.85980721759462,94,Could improve communication with team members
C-020,2023-03-10,98.18302873282128,70,Could improve communication with team members
C-021,2023-05-18,97.94235899258645,95,Needs additional support with technical tasks
C-021,2023-05-15,83.87438284046294,85,Consistently follows safety procedures
C-021,2023-08-29,89.54379665475564,82,Shows strong initiative in problem-solving
C-021,2023-02-01,90.94825057994935,99,Could improve communication with team members
C-021,2024-02-28,89.85259748805181,82,Could improve communication with team members
C-021,2023-04-20,76.30476645376713,90,Required more training on equipment operation
C-021,2023-12-18,77.8541746976229,81,Demonstrates excellent leadership qualities
C-021,2023-11-27,96.35805321302254,70,Demonstrates excellent leadership qualities
C-022,2023-10-02,85.92987201885548,88,Shows strong initiative in problem-solving
C-022,2023-10-17,83.10380949776423,94,Demonstrates excellent leadership qualities
C-022,2024-01-14,86.3860947000883,95,Needs additional support with technical tasks
C-022,2023-01-21,85.84565478221646,73,Consistently follows safety procedures
C-023,2023-11-03,84.682404121545,77,Shows strong initiative in problem-solving
C-023,2023-04-28,75.0886719256328,84,Needs additional support with technical tasks
C-023,2024-01-20,87.24734739095956,82,Needs additional support with technical tasks
C-024,2024-03-16,77.32150600186989,73,Could improve communication with team members
C-024,2023-10-15,77.52875966520874,92,Required more training on equipment operation
C-024,2023-12-03,80.8272470560371,79,Shows strong initiative in problem-solving
C-024,2023-09-08,94.69073493506744,75,Shows strong initiative in problem-solving
C-024,2023-01-16,77.66355087034617,96,Consistently follows safety procedures
C-024,2023-01-10,76.82685721917395,77,Required more training on equipment operation
C-024,2023-04-28,79.75881356807672,86,Consistently follows safety procedures
C-024,2023-04-13,94.04655502607874,74,Demonstrates excellent leadership qualities
C-025,2023-01-12,99.24649031095342,98,Demonstrates excellent leadership qualities
C-025,2023-04-12,94.36909167166422,78,Shows strong initiative in problem-solving
C-025,2023-08-10,86.87309832928634,86,Shows strong initiative in problem-solving
C-025,2023-10-25,97.930867069113,71,Needs additional support with technical tasks
C-025,2024-01-30,79.51935767401727,92,Consistently follows safety procedures
C-025,2023-12-13,80.5007193379247,98,Consistently follows safety procedures
C-025,2023-12-04,87.2036280060593,94,Consistently follows safety procedures
C-025,2023-03-22,88.15664898110447,81,Shows strong initiative in problem-solving
C-026,2023-02-26,86.5001717228526,95,Could improve communication with team members
C-026,2023-06-30,89.57400429196782,100,Required more training on equipment operation
C-026,2023-03-08,88.84514369507642,94,Shows strong initiative in problem-solving
C-027,2023-04-08,92.16628319396918,83,Could improve communication with team members
C-027,2023-05-03,86.31453751163546,73,Could improve communication with team members
C-027,2023-08-06,93.19503811697078,100,Shows strong initiative in problem-solving
C-027,2023-11-29,98.54133489256465,94,Shows strong initiative in problem-solving
C-027,2023-01-12,96.26349412765308,71,Shows strong initiative in problem-solving
